pool,func,minargs,maxargs,type,definition
GSC-Function-49b60c0,function_1eb9bfd0,1,1,GLOBAL,
GSC-Function-49b60c0,function_baff9400,1,1,GLOBAL,
GSC-Function-49b60c0,function_1c74e6f,2,2,GLOBAL,
GSC-Function-49b60c0,function_1f08a8fd,3,3,GLOBAL,
GSC-Function-49b60c0,function_208c7dec,2,2,GLOBAL,
GSC-Function-49b60c0,function_c6937c72,2,2,GLOBAL,
GSC-Function-49b60c0,function_40f806d2,6,7,GLOBAL,
GSC-Function-49b60c0,function_81616624,2,2,GLOBAL,
GSC-Function-4f437c0,spawn,2,7,GLOBAL,
GSC-Function-4f437c0,spawncollision,4,4,GLOBAL,
GSC-Function-4f437c0,spawntimedfx,2,5,GLOBAL,
GSC-Function-4f437c0,spawnactor,3,7,GLOBAL,
GSC-Function-4f437c0,spawnvehicle,3,7,GLOBAL,
GSC-Function-4f437c0,spawnweapon,2,4,GLOBAL,
GSC-Function-4f437c0,spawnstruct,0,0,GLOBAL,
GSC-Function-4f437c0,getentbynum,1,1,GLOBAL,
GSC-Function-4f437c0,getbrushmodelcenter,1,1,GLOBAL,
GSC-Function-4f437c0,getdemofileid,0,0,GLOBAL,
GSC-Function-4f437c0,function_c7c50474,0,0,GLOBAL,
GSC-Function-4f437c0,getplayers,0,3,GLOBAL,
GSC-Function-4f437c0,countplayers,0,1,GLOBAL,
GSC-Function-4f437c0,getdamageableentarray,0,3,GLOBAL,
GSC-Function-4f437c0,mayspawnfakeentity,0,0,GLOBAL,
GSC-Function-4f437c0,mayspawnentity,0,0,GLOBAL,
GSC-Function-4f437c0,objective_add,2,5,GLOBAL,
GSC-Function-4f437c0,objective_delete,1,1,GLOBAL,
GSC-Function-4f437c0,objective_state,1,1,GLOBAL,
GSC-Function-4f437c0,objective_setstate,2,2,GLOBAL,
GSC-Function-4f437c0,objective_position,1,1,GLOBAL,
GSC-Function-4f437c0,function_cc3ada06,1,1,GLOBAL,
GSC-Function-4f437c0,objective_setposition,2,2,GLOBAL,
GSC-Function-4f437c0,objective_onentity,2,2,GLOBAL,
GSC-Function-4f437c0,objective_clearentity,1,1,GLOBAL,
GSC-Function-4f437c0,objective_setvisibletoplayer,2,2,GLOBAL,
GSC-Function-4f437c0,objective_setinvisibletoplayer,2,2,GLOBAL,
GSC-Function-4f437c0,objective_setvisibletoplayerbyindex,2,2,GLOBAL,
GSC-Function-4f437c0,objective_setinvisibletoplayerbyindex,2,2,GLOBAL,
GSC-Function-4f437c0,objective_setvisibletoall,1,1,GLOBAL,
GSC-Function-4f437c0,objective_setinvisibletoall,1,1,GLOBAL,
GSC-Function-4f437c0,objective_setprogress,2,2,GLOBAL,
GSC-Function-4f437c0,objective_setgamemodeflags,2,2,GLOBAL,
GSC-Function-4f437c0,objective_getgamemodeflags,1,1,GLOBAL,
GSC-Function-4f437c0,objective_setplayerusing,2,2,GLOBAL,
GSC-Function-4f437c0,objective_clearplayerusing,2,2,GLOBAL,
GSC-Function-4f437c0,objective_clearallusing,1,1,GLOBAL,
GSC-Function-4f437c0,objective_team,1,1,GLOBAL,
GSC-Function-4f437c0,objective_setteam,2,2,GLOBAL,
GSC-Function-4f437c0,function_3ae6fa3,3,3,GLOBAL,
GSC-Function-4f437c0,function_da7940a3,2,2,GLOBAL,
GSC-Function-4f437c0,objective_setuimodelvalue,3,3,GLOBAL,
GSC-Function-4f437c0,objective_getrequiredspecialty,1,1,GLOBAL,
GSC-Function-4f437c0,function_1fce1758,1,1,GLOBAL,
GSC-Function-4f437c0,function_464c3671,1,2,GLOBAL,
GSC-Function-4f437c0,missile_createattractorent,3,5,GLOBAL,
GSC-Function-4f437c0,missile_createattractororigin,3,5,GLOBAL,
GSC-Function-4f437c0,missile_createrepulsorent,3,5,GLOBAL,
GSC-Function-4f437c0,missile_createrepulsororigin,3,5,GLOBAL,
GSC-Function-4f437c0,missile_deleteattractor,1,1,GLOBAL,
GSC-Function-4f437c0,bullettrace,4,7,GLOBAL,
GSC-Function-4f437c0,groundtrace,4,6,GLOBAL,
GSC-Function-4f437c0,beamtrace,4,8,GLOBAL,
GSC-Function-4f437c0,bullettracepassed,4,7,GLOBAL,
GSC-Function-4f437c0,sighttracepassed,4,5,GLOBAL,
GSC-Function-4f437c0,physicstrace,2,6,GLOBAL,
